,Dato,Kvitteringer,eResept,NAV,Basismeldinger,Folkehelseinstituttet,Dialogmeldinger,Systemmeldinger,Pleie- og omsorgsmeldinger,Partnermeldinger,Skatteetaten,Helsedirektoratet,Kreftmeldinger,Neonatal,Ikke spesifisert,Ikke Kategoriserte,Totalt antall meldinger,Antall ebxml meldinger,Antall medisinske meldinger,Ikke kategorisert,Antall ikke ebxml meldinger,eResept-meldinger,NAV- og HELFO-meldinger,FHI-meldinger,eResept-meldinger 
309,2017-11-06,1169826,412989.0,172168.0,143896,43017.0,12698,4501,6306,350.0,143,260,521,227.0,34.0,1457,1998325,1968393,792259,,,,,,
310,2017-11-07,1146369,401883.0,233231.0,143572,43234.0,12542,5004,5940,316.0,144,218,29,0.0,13.0,1410,2026457,1993905,840806,,,,,,
311,2017-11-08,1176198,412969.0,188904.0,146333,41261.0,12722,4850,5674,275.0,158,229,0,26.0,14.0,1368,2018508,1990981,808290,,,,,,
312,2017-11-09,1166388,418367.0,126150.0,144195,40734.0,11896,5178,5554,288.0,157,284,0,0.0,25.0,1320,1946472,1920536,747362,,,,,,
313,2017-11-10,1097402,461937.0,119198.0,135519,30162.0,11594,4341,6095,275.0,152,241,0,0.0,7.0,1249,1891133,1868172,764905,,,,,,
314,2017-11-11,303807,213560.0,20189.0,19942,1927.0,1684,2900,1523,47.0,133,102,0,0.0,0.0,392,571493,566206,259060,,,,,,
315,2017-11-12,73497,14902.0,18069.0,12969,1622.0,1923,2890,1687,54.0,120,88,0,0.0,0.0,417,131697,128238,51380,,,,,,
316,2017-11-13,1155430,424905.0,323133.0,139260,36381.0,12922,4676,6048,330.0,175,165,4,0.0,4.0,1427,2134177,2104860,942997,,,,,,
317,2017-11-14,1139866,434739.0,364374.0,146069,35011.0,12282,5177,5790,420.0,157,191,0,0.0,1.0,1528,2171076,2145605,998614,,,,,,
318,2017-11-15,1144517,418929.0,133293.0,149392,35219.0,12568,4777,5860,298.0,137,230,0,0.0,36.0,1298,1933665,1906554,755664,,,,,,
